"Event no.";"Title";"Venue codes";"Venue";"City";"Promoter no.";"Promoter";"Provider";"Tour title";"Event time";"FC";"Ticket layout";"Continuous event"
"53";"Test Tanja";"336";"SNG Maribor";"Maribor";"11600";"80:Eventim SI d.o.o.";"80:Eventim Si d.o.o.";"Test Tanja";"Tue, 10/01/2019 19:00";"1";"ET_SVN-veliki logo";"No"
"62";"3. Cosmo konferenca";"1198";"Mestni muzej Ljubljana";"Ljubljana";"10686";"80:AM Ljubljana d.o.o.";"80:Eventim Si d.o.o.";"3. Cosmo konferenca";"Mon, 09/30/2019 15:00";"2";"22% DDV";"No"
"3";"SP v športnem plezanju Kranj 2019 - FINALE 29.9.2019";"951";"Dvorana Zlato polje";"Kranj";"11214";"80:PLANINSKA ZVEZA SLOVENIJE";"80:Eventim Si d.o.o.";"SP v športnem plezanju Kranj 2019";"Sun, 09/29/2019 17:00";"2";"SVN - OK NOV";"No"
"39";"Mi2";"31";"Klub Bazen Kranj";"Kranj";"10498";"80:Društvo Bazen Kranj, kulturni center";"80:Eventim Si d.o.o.";"Mi2";"Sat, 09/28/2019 21:00";"1";"SVN - OK NOV";"No"
"4";"SP v športnem plezanju Kranj 2019 - POLFINALE 28.9. in FINALE 29.9";"951";"Dvorana Zlato polje";"Kranj";"11214";"80:PLANINSKA ZVEZA SLOVENIJE";"80:Eventim Si d.o.o.";"SP v športnem plezanju Kranj 2019";"Sat, 09/28/2019 20:01";"2";"SVN - OK NOV";"No"
"104";"GUŠTO GRE NA ROMANJE";"103";"Kulturni dom Nova Gorica";"Nova Gorica";"11225";"80:Talija gledališèe";"80:Eventim Si d.o.o.";"GUŠTO GRE NA ROMANJE";"Sat, 09/28/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"54";"ADI SMOLAR - 60. OBLETNICA";"11";"Celjski dom";"Celje";"11608";"80:Sanela Flisar Stankoviæ, s.p.";"80:Eventim Si d.o.o.";"ADI SMOLAR - 60. OBLETNICA";"Sat, 09/28/2019 20:00";"1";"SVN - OK NOV";"No"
"587";"KRIZA SREDNJIH LET Špas teater";"83";"Kulturni dom Mengeš - Špas Teater";"Mengeš";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"KRIZA SREDNJIH LET";"Sat, 09/28/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"2";"SP v športnem plezanju Kranj 2019 - POLFINALE 28.9.2019";"951";"Dvorana Zlato polje";"Kranj";"11214";"80:PLANINSKA ZVEZA SLOVENIJE";"80:Eventim Si d.o.o.";"SP v športnem plezanju Kranj 2019";"Sat, 09/28/2019 20:00";"2";"SVN - OK NOV";"No"
"27";"KURZSCHLUSS: BORIS BREJCHA - RAZPRODANO";"771";"Gospodarsko razstavišèe";"Ljubljana";"10250";"80:Èrni Poni d.o.o.";"80:Eventim Si d.o.o.";"KURZSCHLUSS: BORIS BREJCHA";"Fri, 09/27/2019 22:00";"5";"ET_SVN-veliki logo";"No"
"669";"SHORTPARIS";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"SHORTPARIS";"Fri, 09/27/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"349";"LUKA BASI - DALMATINSKA NOÈ - RAZPRODANO";"79";"KRIŽANKE";"Ljubljana";"11394";"80:EVENT24 d. o. o.";"80:Eventim Si d.o.o.";"LUKA BASI - DALMATINSKA NOÈ";"Fri, 09/27/2019 20:00";"5";"ET_SVN-veliki logo";"No"
"588";"KRIZA SREDNJIH LET Špas teater";"225";"KD Loški oder Škofja Loka";"Škofja Loka";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"KRIZA SREDNJIH LET";"Fri, 09/27/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"28";"KURZSCHLUSS: ROISIN MURPHY";"771";"Gospodarsko razstavišèe";"Ljubljana";"10250";"80:Èrni Poni d.o.o.";"80:Eventim Si d.o.o.";"KURZSCHLUSS: ROISIN MURPHY";"Thu, 09/26/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"453";"20:30 / 1/2 FINAL";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"1/2 FINAL";"Thu, 09/26/2019 20:30";"2";"EUROVOLLEY";"No"
"586";"MENOPAVZA, Špas teater";"83";"Kulturni dom Mengeš - Špas Teater";"Mengeš";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"MENOPAVZA";"Thu, 09/26/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"588";"KRIZA SREDNJIH LET Špas teater";"103";"Kulturni dom Nova Gorica";"Nova Gorica";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"KRIZA SREDNJIH LET";"Thu, 09/26/2019 20:00";"1";"ET_SVN-veliki logo";"No"
